,LOC_GUID,ADDR_GUID,APT_NO_LABEL,CIVIC_NO,CIVIC_NO_SUFFIX,OFFICIAL_STREET_NAME,OFFICIAL_STREET_TYPE,OFFICIAL_STREET_DIR,PROV_CODE,CSD_ENG_NAME,CSD_FRE_NAME,CSD_TYPE_ENG_CODE,CSD_TYPE_FRE_CODE,MAIL_STREET_NAME,MAIL_STREET_TYPE,MAIL_STREET_DIR,MAIL_MUN_NAME,MAIL_PROV_ABVN,MAIL_POSTAL_CODE,BG_DLS_LSD,BG_DLS_QTR,BG_DLS_SCTN,BG_DLS_TWNSHP,BG_DLS_RNG,BG_DLS_MRD,BG_X,BG_Y,BU_N_CIVIC_ADD,BU_USE
0,60bd9834-6b82-4889-b7bd-0464de2131e5,5c6b6fa0-3183-4848-952b-6bcc26d76e73,137,7400,,Sherbrooke,RUE,O,24,Montréal,Montréal,V,V,SHERBROOKE,RUE,O,MONTRÉAL,QC,H4B1R8,,,,,,,7627664.5525,1237945.1732,,1
1,c131311c-16d0-40a1-ab75-b42282aa384b,72b6a64d-7a85-491e-9c7b-7ee072e3ca33,,496,,Principale,RUE,,24,Rivière-Éternité,Rivière-Éternité,MÉ,MÉ,PRINCIPALE,RUE,,RIVIÈRE-ÉTERNITE,QC,G0V1P0,,,,,,,7768865.5216,1612582.8029,,1
2,ffc58d0e-c67b-4136-aa78-a7c5dbe1898a,9026adb4-374f-4260-9290-f589651e62da,,1273,,Valmore-Lapierre,RUE,,24,Joliette,Joliette,V,V,VALMORE-LAPIERRE,RUE,,JOLIETTE,QC,J6E8P7,,,,,,,7623478.3222,1302947.9324,,1
3,f6f7a15c-cde4-4317-a926-0b4c3ec2319f,c73a1165-6d6b-49a2-8652-f79fe5f5303a,,25,,Laurier,RUE,,24,Saint-Eustache,Saint-Eustache,V,V,LAURIER,RUE,,SAINT-EUSTACHE,QC,J7R2E9,,,,,,,7604197.5519,1243695.4464,,2
4,f5e247fd-8f2c-4702-99e9-bc29e2cbc71e,7b0e57ad-ede2-46c5-b563-645391d531ce,3,2467,,Édouard-Montpetit,BOUL,,24,Montréal,Montréal,V,V,ÉDOUARD-MONTPETIT,BOUL,,MONTRÉAL,QC,H3T1J5,,,,,,,7627876.0904,1244043.9618,,1
5,aef6fce2-4af1-4cc7-a2ef-2507a992892c,e2740294-d67b-4c55-a244-9f112e0618e0,,2442,A,Saguenay,RUE,,24,Rouyn-Noranda,Rouyn-Noranda,V,V,SAGUENAY,RUE,,ROUYN-NORANDA,QC,J9X2H4,,,,,,,7149137.7356,1444162.5616,,1
6,11b9bc8a-954b-4cd6-b391-a16696fa62a4,5d52376e-b40a-4798-baf2-6ee7e6f905cf,,5105,,Kelly,RUE,,24,Longueuil,Longueuil,V,V,KELLY,RUE,,SAINT-HUBERT,QC,J3Y6M4,,,,,,,7641690.8121,1245528.4266,,1
7,6e5d85fb-7e5c-47ae-b2b1-ba6755736eb6,0744f2a6-e3cc-46cb-8c0d-be9fa32c91cb,,152,,Principale,RUE,,24,Saint-Fortunat,Saint-Fortunat,MÉ,MÉ,PRINCIPALE,RUE,,SAINT-FORTUNAT,QC,G0P1G0,,,,,,,7764220.9061,1341600.6329,,2
8,10762364-4b42-4cf6-8d4a-ae3e847749ba,6157bd9f-fd50-4913-98dd-4349b782b7e2,102,1920,,Charles-Le Gardeur,RUE,,24,Trois-Rivières,Trois-Rivières,V,V,CHARLES-LE GARDEUR,RUE,,TROIS-RIVIÈRES,QC,G8Y0H2,,,,,,,7677274.0369,1358435.3272,,1
9,eab66cfe-0ac3-4c25-be30-235a16f0adb7,53202940-e9c8-4593-944b-fbb98290fd0c,312,18,,Piché,RUE,,24,Victoriaville,Victoriaville,V,V,PICHÉ,RUE,,VICTORIAVILLE,QC,G6P4N6,,,,,,,7735393.7464,1341823.9578,,2
10,e56592bd-0e44-44e1-bc96-ea0a884d2d1a,b5a3fabd-a90b-4311-9ee3-04ce7da05d14,A,2531,,de l'Église,CH,,24,Sainte-Clotilde,Sainte-Clotilde,MÉ,MÉ,DE L'ÉGLISE,CH,,SAINTE-CLOTILDE-DE-CHÂTEAUGUAY,QC,J0L1W0,,,,,,,7632732.7688,1203814.6473,,1
11,ebbfbb0b-f635-464f-8e92-fe35f15b5c4f,12a641df-37c7-4f1e-a87e-1eafffd0a212,,6,,des Versants,CH,,24,La Minerve,La Minerve,MÉ,MÉ,DES VERSANTS,CH,,LA MINERVE,QC,J0T1S0,,,,,,,7505260.1478,1297931.0132,,1
12,2aacad74-b0ad-4023-8f96-a077850d3c47,fecdc631-2f5c-4f23-b716-c61a13d7deed,,160,,Saint-Aimé,RUE,,24,Drummondville,Drummondville,V,V,SAINT-AIMÉ,RUE,,DRUMMONDVILLE,QC,J2B2S8,,,,,,,7702801.6208,1308567.0686,,1
13,76279e79-3e12-4b21-a398-464903c6ef91,00bdf0e6-86fd-4220-b9dd-149116452d0a,,2731,,de l'Aigle-d'Or,RUE,,24,Québec,Québec,V,V,DE L'AIGLE-D'OR,RUE,,QUÉBEC,QC,G1M2N8,,,,,,,7757816.3314,1438713.4176,,1
14,aa0578cd-3606-4d4b-a2f8-ba41e6554c12,0198eeb2-55aa-48ad-96f5-12686a921884,2,7722,,du Curé-Paré,AV,,24,Chertsey,Chertsey,MÉ,MÉ,DU CURÉ-PARÉ,AV,,CHERTSEY,QC,J0K3K0,,,,,,,7589354.1615,1299380.0989,,1
15,c06901ce-616d-42a3-9b89-dcc772c7c529,b5a12cae-d2f5-4eb2-b775-ff61f32dea2e,2,114,,du Havre,CH,,24,La Pêche,La Pêche,MÉ,MÉ,DU HAVRE,CH,,WAKEFIELD,QC,J0X3G0,,,,,,,7447503.7249,1210963.1044,,1
16,1c12b8ac-1d49-48df-aa0e-d717cdfff7d7,9c5f19ff-ac8f-4853-9526-107d870ad9d9,,2,,Laflamme,RUE,,24,Victoriaville,Victoriaville,V,V,LAFLAMME,RUE,,VICTORIAVILLE,QC,G6P6X7,,,,,,,7733582.7348,1341405.4577,,1
17,7444a799-3890-4f3d-abd5-677923882b80,cd5b0cd7-30a6-48b5-a4be-f96b24c7b57f,206,1925,,de la Gare,AV,,24,Mascouche,Mascouche,V,V,DE LA GARE,AV,,MASCOUCHE,QC,J7K0M4,,,,,,,7621788.8426,1268307.9512,,1
18,e7fe5996-b979-4122-bca2-c64a247c52a5,b73bd060-72e5-454b-964f-34d6ca4dbb0c,212,180,,Desjardins,BOUL,,24,Maniwaki,Maniwaki,V,V,DESJARDINS,BOUL,,MANIWAKI,QC,J9E2E2,,,,,,,7422377.8202,1290166.0675,,1
19,fdf14f3d-02c7-4619-9f22-fd684acad433,4a3e5ef0-7e3d-499e-951a-eb8abf9ecc0b,437,7,,Saint-Thomas,RUE,,24,Lévis,Lévis,V,V,SAINT-THOMAS,RUE,,LÉVIS,QC,G6V5R1,,,,,,,7765337.2407,1440917.173,,1
20,b8993db4-8a1a-41ae-a7e0-c0c3ccce0a12,1b5d7e56-6e2e-4cad-97cb-5d0a95104fcc,404,261,,Harel,PLACE,,24,Sainte-Thérèse,Sainte-Thérèse,V,V,HAREL,PLACE,,SAINTE-THÉRÈSE,QC,J7E5W3,,,,,,,7607921.2844,1254605.3781,,1
21,103b1747-9113-4977-aa23-f8ef6e5ebf1a,171367fe-8f74-4a6d-9620-4e828164e131,16,10,,des Prés,RUE,,24,Gatineau,Gatineau,V,V,DES PRÉS,RUE,,GATINEAU,QC,J9A3G8,,,,,,,7466029.9393,1190334.1729,,1
22,584d6c79-c3e3-4136-9f6b-1f3faa112393,a9f93fa0-d631-4e17-b81e-76b9a32c7cef,106,166,,Lassonde,CH,,24,Sutton,Sutton,V,V,LASSONDE,CH,,SUTTON,QC,J0E2K0,,,,,,,7720251.7008,1224981.4307,,1
23,c8b6252d-bfb2-4a4a-a1ee-45b21908fc30,c0cafedb-e837-4b4c-a29a-89adee62e490,,1044,,de la Ronde,AV,,24,Québec,Québec,V,V,DE LA RONDE,AV,,QUÉBEC,QC,G1J4B6,,,,,,,7761743.9669,1442787.5458,,2
24,84395038-2678-4020-8c8e-d4e349f2acb1,7ffa6612-bdf9-4db7-8521-f9b918937e7a,,4300,,Saint-Hubert,RUE,,24,Montréal,Montréal,V,V,SAINT-HUBERT,RUE,,MONTRÉAL,QC,H2J2W7,,,,,,,7630189.807,1246792.9996,,2
25,0f5f0bab-afbf-4a3a-ad25-03fbe22df631,b04acbb4-9a65-4ad6-b320-e33fbd61f13f,,1750,,André-Collard,RUE,,24,Sherbrooke,Sherbrooke,V,V,ANDRÉ-COLLARD,RUE,,SHERBROOKE,QC,J1N0W3,,,,,,,7755335.3684,1267142.1001,,1
26,b0c8d721-c83f-459f-8422-2ce82647b216,0e6704a6-7109-43b8-8f00-a2dbacc1ad0a,,239,,Saint-Michel,RUE,,24,Oka,Oka,MÉ,MÉ,SAINT-MICHEL,RUE,,OKA,QC,J0N1E0,,,,,,,7593007.9283,1228617.7687,,1
27,1e38e6f7-99c7-470f-9704-f2d336d95ef7,791696bd-b3e3-4ffa-9c28-5eeb65a4fc3e,,233,,de la Lisière,PLACE,,24,Saint-Sauveur,Saint-Sauveur,V,V,DE LA LISIÈRE,PLACE,,SAINT-SAUVEUR,QC,J0R1R7,,,,,,,7573840.4421,1274409.548,,1
28,cb87ee28-f5df-4f73-b406-ff93d9c7a3f8,6c9583b9-4b2e-4103-97a9-2cb7ffceb96b,A,2324,,de la Réserve,CH,,24,Saguenay,Saguenay,V,V,DE LA RÉSERVE,CH,,CHICOUTIMI,QC,G7J0E1,,,,,,,7711538.7413,1611148.8831,,1
29,c302d32e-e09c-4e79-82a2-ddd11a682f39,b1242956-b98e-42c5-94e2-effa52817320,,1930,,Malcolm-Fraser,BOUL,,24,La Malbaie,La Malbaie,V,V,MALCOLM-FRASER,BOUL,,LA MALBAIE,QC,G5A2H4,,,,,,,7814895.3579,1563804.9058,,1
30,03b96450-a4c4-4531-8dcc-9620f0671a3b,eaf3841a-4a09-4f60-ab21-9c3139853d8e,,20,,Mailhot,RUE,,24,Saint-Charles-Borromée,Saint-Charles-Borromée,V,V,MAILHOT,RUE,,SAINT-CHARLES-BORROMÉE,QC,J6E7Y8,,,,,,,7619178.7728,1307738.514,,2
31,9477518e-0a70-4fe8-b9ec-dbf3e1cda67a,ea192291-c742-4e45-9f69-bc1c5a68d11a,,9680,,de Lorimier,AV,,24,Montréal,Montréal,V,V,DE LORIMIER,AV,,MONTRÉAL,QC,H2B2H4,,,,,,,7623787.499,1250072.59,,1
32,dae3fc4d-a442-4cdc-a930-9098c3b4e0e3,41ffbb3c-6000-454d-ad20-3cc5715f8b64,57,40,,du Château-Landing,CH,,24,Potton,Potton,CT,CT,DU CHÂTEAU-LANDING,CH,,MANSONVILLE,QC,J0E1X0,,,,,,,7741803.4637,1233808.8015,,1
33,ff9f7ba6-1147-4c52-a22a-8054bb7e9c5b,3b040db0-97a2-44bf-9bc9-157cb408566a,,1925,,Vézina,AV,,24,Saint-Hyacinthe,Saint-Hyacinthe,V,V,VÉZINA,AV,,SAINT-HYACINTHE,QC,J2S8N4,,,,,,,7674775.3666,1273742.6737,,1
34,271cf771-f4f6-4c23-9da1-c091c8e37c44,f8c24b64-3cc3-402d-9365-666c3335b270,,100,,des Mélèzes,RUE,,24,Sainte-Catherine-de-Hatley,Sainte-Catherine-de-Hatley,MÉ,MÉ,DES MÉLÈZES,RUE,,SAINTE-CATHERINE-DE-HATLEY,QC,J0B1W0,,,,,,,7753819.9215,1255885.8859,,1
35,00b99dc9-255a-4fbc-a9cb-cb3e47ce71c5,dee37646-c3fd-4f88-9732-43d29f7590f1,,35,,11e,AV,,24,Sainte-Marthe-sur-le-Lac,Sainte-Marthe-sur-le-Lac,V,V,11E,AV,,SAINTE-MARTHE-SUR-LE-LAC,QC,J0N1P0,,,,,,,7603941.4527,1239792.8413,,1
36,370ff97f-d6d6-44ef-ba73-81ebab76dcde,fb9e8c3a-f551-4741-bd0e-c078375dc19b,,10,,du Lac-Dulieux,CH,,24,Eeyou Istchee Baie-James,Eeyou Istchee Baie-James,GR,GR,,,,DESMARAISVILLE,QC,J0Y1H0,,,,,,,7427182.6942,1686527.2846,,1
37,24596cea-819b-454d-abf1-67a1c41a6e73,4eb18b4b-ba2a-4b8f-9aa4-8b0b7cfa1c49,,4002,,Mousseau,RUE,,24,L'Assomption,L'Assomption,V,V,MOUSSEAU,RUE,,L'ASSOMPTION,QC,J5W0L8,,,,,,,7630233.337,1290860.7746,,1
38,ae863f48-01de-46e9-adf6-c2374f15d9e4,533689d0-075a-436d-91c5-30194d08acb7,,1945,,de l'Iris,CH,,24,Notre-Dame-de-la-Merci,Notre-Dame-de-la-Merci,MÉ,MÉ,DE L'IRIS,CH,,NOTRE-DAME-DE-LA-MERCI,QC,J0T2A0,,,,,,,7571307.9231,1311883.8136,,1
39,b3fddf1e-155a-47e0-b1a9-838e79fe0ffb,6d793d9d-584a-4a7a-8f24-8a2d8ca3a55f,,80,,du Lac-des-Huit,CH,,24,Saint-Mathieu-du-Parc,Saint-Mathieu-du-Parc,MÉ,MÉ,DU LAC-DES-HUIT,CH,,SAINT-MATHIEU-DU-PARC,QC,G0X1N0,,,,,,,7641395.5506,1376086.0321,,1
40,76b04064-a07c-40de-b34b-c88622811f08,af7bcc57-5cca-457d-9244-d83d012f1010,535,2020,,Lebourgneuf,BOUL,,24,Québec,Québec,V,V,LEBOURGNEUF,BOUL,,QUÉBEC,QC,G2K0N1,,,,,,,7755198.7728,1440223.6961,,1
41,16779557-dcd1-432b-a13d-9690794504a3,065d8b9a-75f1-4dca-9231-5abb85f1d64e,,943,,Principale,RUE,,24,Roxton Pond,Roxton Pond,MÉ,MÉ,PRINCIPALE,RUE,,ROXTON POND,QC,J0E1Z0,,,,,,,7701546.2473,1262794.6342,,1
42,2fe33df0-42d0-43ee-b8e9-32be8204a621,19ad494c-6da9-4f8b-a83a-edf738a06f9d,203,395,,Samson,BOUL,,24,Laval,Laval,V,V,SAMSON,BOUL,,LAVAL,QC,H7X2X6,,,,,,,7612966.1397,1241853.9729,,1
43,aeb594f7-e9fb-4bf4-b5f6-a2e919a67be0,647ef76c-833f-44b9-a75d-3e0119901122,,338,,Champlain,RUE,,24,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,V,V,CHAMPLAIN,RUE,,SAINT-JEAN-SUR-RICHELIEU,QC,J3B6W4,,,,,,,7661850.1534,1231248.3646,,1
44,8e61bf91-05e8-4ffc-bc89-56ccdbf0ee97,8efdfe9b-237d-4040-8406-84cd744cd710,,479,,Caron,RUE,,24,Saint-Joseph-du-Lac,Saint-Joseph-du-Lac,MÉ,MÉ,CARON,RUE,,SAINT-JOSEPH-DU-LAC,QC,J0N1M0,,,,,,,7600294.6008,1238151.1689,,1
45,bd7d26e8-fc31-40d0-87a2-f6254e2c9e5e,51bd992c-c155-4f57-aca5-2177a59a0718,,452,,du Grand-Héron,RUE,,24,Terrebonne,Terrebonne,V,V,DU GRAND-HÉRON,RUE,,TERREBONNE,QC,J6V0B8,,,,,,,7630223.1195,1269196.6612,,1
46,31691374-4845-4c3c-af68-fcb4227e5769,134733d9-39b4-412f-94b7-deb747e1f5af,504,1560,,D'Estimauville,AV,,24,Québec,Québec,V,V,D'ESTIMAUVILLE,AV,,QUÉBEC,QC,G1J0J4,,,,,,,7761740.195,1443999.5004,,1
