,LOC_GUID,ADDR_GUID,APT_NO_LABEL,CIVIC_NO,CIVIC_NO_SUFFIX,OFFICIAL_STREET_NAME,OFFICIAL_STREET_TYPE,OFFICIAL_STREET_DIR,PROV_CODE,CSD_ENG_NAME,CSD_FRE_NAME,CSD_TYPE_ENG_CODE,CSD_TYPE_FRE_CODE,MAIL_STREET_NAME,MAIL_STREET_TYPE,MAIL_STREET_DIR,MAIL_MUN_NAME,MAIL_PROV_ABVN,MAIL_POSTAL_CODE,BG_DLS_LSD,BG_DLS_QTR,BG_DLS_SCTN,BG_DLS_TWNSHP,BG_DLS_RNG,BG_DLS_MRD,BG_X,BG_Y,BU_N_CIVIC_ADD,BU_USE
0,99c26b33-f9e6-49f6-85aa-1e3bd83c44fd,e8becd0d-26db-4fb4-94e6-855bd1b8c0b9,,5,,Sawmill,RD,,60,Teslin,Teslin,VL,VL,,,,TESLIN,YT,Y0A1B0,,,,,,,4144950.821932,3335087.196754,,1
1,62507abb-6a9e-4649-bb30-208195e26038,5df27f7f-539a-4624-b903-bb41dc8de017,103,986,,Range,RD,,60,Whitehorse,Whitehorse,CY,CY,RANGE,RD,,WHITEHORSE,YT,Y1A4V1,,,,,,,4083412.0055,3463285.2022,,2
2,64d4ccc2-b8bb-4232-8895-fb61be05d926,6274654d-0cc7-4d71-b4a2-72e47a19071f,,25,,Cronkhite,RD,,60,Whitehorse,Whitehorse,CY,CY,CRONKHITE,RD,,WHITEHORSE,YT,Y1A5S9,,,,,,,4078574.595783,3447055.321359,,1
3,0b565493-7fad-470c-8b1a-3b6b9a6d7a32,97658d06-7c4d-4d11-a731-1ee6ed7b13a2,,12,,Beech,ST,,60,Whitehorse,Whitehorse,CY,CY,BEECH,ST,,WHITEHORSE,YT,Y1A4A6,,,,,,,4082839.744219,3467042.100033,,2
4,1e18b947-5a97-4688-9113-431ec6f01d25,d43eca46-e7db-4a2d-a63b-fc557700db4a,,23,,Adit,LANE,,60,Whitehorse,Whitehorse,CY,CY,ADIT,LANE,,WHITEHORSE,YT,Y1A0B7,,,,,,,4078506.097726,3458191.327365,,1
5,cd160959-94da-41cc-b48f-eb23a7da900d,8ece7acc-abad-43c2-bb08-c7940951d651,,57,,Ellwood,ST,,60,Whitehorse,Whitehorse,CY,CY,ELLWOOD,ST,,WHITEHORSE,YT,Y1A0T6,,,,,,,4083979.609736,3466706.810005,,1
6,54c096bb-3560-4b09-8e80-3965ae4be215,576b1315-b164-43b1-a66a-fb3c8c117f2e,207,4046,,4th,AVE,,60,Whitehorse,Whitehorse,CY,CY,4TH,AVE,,WHITEHORSE,YT,Y1A1G9,,,,,,,4082070.719897,3458534.284092,,1
7,56997b37-e82f-49fe-b08a-8ca27ade0bba,79410e2d-b330-4801-bf63-28a155d27209,,184,,Falcon,DR,,60,Whitehorse,Whitehorse,CY,CY,FALCON,DR,,WHITEHORSE,YT,Y1A6T2,,,,,,,4078378.377068,3459082.783999,,1
8,f83fb7aa-099d-4fd7-a042-8c41d72ab68a,fcbb5bdf-8bbe-4b60-a256-208853e3f1a0,304,468,,Range,RD,,60,Whitehorse,Whitehorse,CY,CY,RANGE,RD,,WHITEHORSE,YT,Y1A0T8,,,,,,,4082192.96751,3461914.859654,,2
9,4e6f2404-66a3-44a9-8f70-e8ca0d8fc0f2,10952426-137b-47ed-9f49-b18b9f6da09a,LOT 1018 QUAD 105 D/9 MARSH LAKE,8,,Pearson,LANE,,60,Marsh Lake,Marsh Lake,NO,NO,,,,MARSH LAKE,YT,,,,,,,,4094567.579618,3424670.449593,,3
10,5c0a84c7-6861-4afa-b1a3-2766db026267,fdaf48f9-739e-4f80-bab3-f9adede84f1d,C,404,,Ogilvie,ST,,60,Whitehorse,Whitehorse,CY,CY,OGILVIE,ST,,WHITEHORSE,YT,Y1A2S4,,,,,,,4082416.491474,3459858.034859,,3
11,124a6d58-1b85-48d2-abf2-e4ca9a7308e2,2d1c9b57-927f-4b0f-81a9-3985ee00abc2,,57,,Boutillier,RD,,60,Dawson,Dawson,T,T,,,,DAWSON,YT,Y0B1G0,,,,,,,4152102.231471,3874417.529642,,3
12,7e868ff3-c37d-4e06-b1ea-d20724d55da6,b1108003-527a-4ffd-971d-aa14091945af,,810,,Ravenhill,DR,,60,Watson Lake,Watson Lake,T,T,,,,WATSON LAKE,YT,Y0A1C0,,,,,,,4315829.308855,3202441.522812,PO BOX 545,1
