squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,Popular,houseAge,numNonGuestRooms,grossLivingArea
75523,3,0,1,63,9373,3,8,0,1,4313,9005,956,0,7,7559081.5,0,21,-4,61249
80771,39,1,1,98,39381,8,6,1,0,3653,2436,128,1,2,8085989.5,1,11,37,74554
55712,58,0,1,19,34457,6,8,0,0,2937,8852,135,1,9,5574642.1,0,5,49,43788
32316,47,0,0,6,27939,10,4,0,1,659,7141,359,0,3,3232561.2,0,14,44,24157
70429,19,1,1,90,38045,3,7,1,0,8435,2429,292,1,4,7055052.0,1,36,15,59273
39223,36,0,1,17,39489,8,6,0,1,2009,4552,757,0,1,3926647.2,0,14,35,31905
58682,10,1,1,99,6450,10,9,1,1,5930,9453,848,0,5,5876376.5,1,31,5,42451
86929,100,1,0,11,98155,3,4,1,0,6326,4748,654,0,10,8696869.3,0,23,90,75201
51522,3,0,0,61,9047,8,3,1,1,632,5792,807,1,5,5154055.2,0,14,-2,44291
39686,42,0,0,15,71019,5,8,1,1,5198,5342,591,1,3,3970892.1,0,5,39,28555
23563,21,0,1,90,91058,6,8,1,0,703,852,684,1,10,2366397.3,1,33,11,21324
96470,74,1,0,21,92029,4,2,1,1,5414,1172,716,1,9,9652258.1,0,15,65,89168
19127,31,1,0,5,7475,2,9,0,0,5387,4430,374,0,4,1914688.8,0,18,27,8936
13087,44,1,0,77,40475,8,4,1,0,1745,724,582,0,0,1320803.4,0,22,44,10036
79770,3,0,1,69,54812,10,5,0,1,8871,7117,240,0,7,7986665.8,0,8,-4,63542
75985,60,1,0,67,6517,6,9,1,1,4878,281,384,1,5,7607322.9,0,17,55,70442
64169,88,0,1,6,61711,3,9,1,1,3054,129,726,0,9,6420823.1,1,15,79,60260
99371,31,1,1,16,96297,7,8,1,1,3258,6296,354,1,8,9944705.3,1,13,23,89463
25966,37,1,1,17,22818,3,1,0,0,8257,2557,162,0,6,2604486.6,0,10,31,14990
41792,43,1,1,10,80768,9,5,1,1,2950,9573,572,1,5,4187667.7,1,9,38,28697
28795,64,1,1,50,97667,3,4,1,1,9862,2666,330,1,0,2888047.9,1,17,64,15937
92383,12,0,0,78,71982,3,7,0,0,7507,9056,892,1,1,9244344.0,0,26,11,74928
33279,64,1,0,65,91690,3,2,1,1,2427,717,732,0,1,3333351.9,0,7,63,29403
34782,47,0,0,73,35331,1,4,0,1,9586,6604,822,0,2,3482594.0,0,6,45,17770
13386,51,0,0,90,87978,4,6,0,0,2885,1149,904,1,4,1342509.3,0,33,47,8448
20883,56,0,0,54,85377,5,9,0,0,9982,8142,670,1,10,2091505.8,0,8,46,2089
95121,46,0,1,3,9382,7,9,0,0,615,1221,328,0,10,9515440.4,0,32,36,92957
52078,7,1,1,73,20372,10,4,1,1,1864,2049,558,0,5,5217708.6,1,10,2,47607
25897,98,1,0,92,20344,2,4,0,1,9799,9569,116,1,10,2598763.3,0,33,88,6413
