GRE_Score,TOEFL_Score,SOP,LOR,CGPA,Admit_Chance,University_Rating_2,University_Rating_3,University_Rating_4,University_Rating_5,Research_1
337,118,4,4,9,1,0,0,1,0,1
324,107,4,4,8,0,0,0,1,0,1
316,104,3,3,8,0,0,1,0,0,1
322,110,3,2,8,1,0,1,0,0,1
314,103,2,3,8,0,1,0,0,0,0
330,115,4,3,9,1,0,0,0,1,1
321,109,3,4,8,0,0,1,0,0,1
308,101,3,4,7,0,1,0,0,0,0
302,102,2,1,8,0,0,0,0,0,0
323,108,3,3,8,0,0,1,0,0,0
325,106,3,4,8,0,0,1,0,0,1
327,111,4,4,9,1,0,0,1,0,1
328,112,4,4,9,0,0,0,1,0,1
307,109,4,3,8,0,0,1,0,0,1
311,104,3,2,8,0,0,1,0,0,1
314,105,3,2,8,0,0,1,0,0,0
317,107,4,3,8,0,0,1,0,0,0
319,106,4,3,8,0,0,1,0,0,1
318,110,4,3,8,0,0,1,0,0,0
303,102,3,3,8,0,0,1,0,0,0
312,107,3,2,7,0,0,1,0,0,1
325,114,3,2,8,0,0,0,1,0,0
328,116,5,5,9,1,0,0,0,1,1
334,119,5,4,9,1,0,0,0,1,1
336,119,4,3,9,1,0,0,0,1,1
340,120,4,4,9,1,0,0,0,1,1
322,109,4,3,8,0,0,0,0,1,0
298,98,1,2,7,0,1,0,0,0,1
295,93,2,2,7,0,0,0,0,0,0
310,99,1,2,7,0,1,0,0,0,0
300,97,3,3,8,0,1,0,0,0,1
327,103,4,4,8,0,0,1,0,0,1
338,118,3,4,9,1,0,0,1,0,1
340,114,4,4,9,1,0,0,0,1,1
331,112,4,5,9,1,0,0,0,1,1
320,110,5,5,9,1,0,0,0,1,1
299,106,4,4,8,0,1,0,0,0,0
300,105,1,2,7,0,0,0,0,0,0
304,105,3,1,7,0,0,0,0,0,0
307,108,4,3,7,0,1,0,0,0,0
308,110,3,3,8,0,0,1,0,0,1
316,105,2,2,8,0,1,0,0,0,1
313,107,2,2,8,0,1,0,0,0,1
332,117,4,4,9,1,0,0,1,0,0
326,113,4,4,9,1,0,0,0,1,1
322,110,5,4,9,1,0,0,0,1,1
329,114,4,5,9,1,0,0,0,1,1
339,119,4,4,9,1,0,0,0,1,0
321,110,3,5,8,1,0,1,0,0,1
327,111,3,4,8,0,0,0,1,0,1
313,98,2,4,8,0,0,1,0,0,1
312,100,1,3,7,0,1,0,0,0,1
334,116,4,3,8,0,0,0,1,0,1
324,112,4,2,8,0,0,0,1,0,1
322,110,3,3,8,0,0,1,0,0,0
320,103,3,3,7,0,0,1,0,0,0
316,102,2,3,7,0,0,1,0,0,0
298,99,4,2,7,0,1,0,0,0,0
300,99,3,2,6,0,0,0,0,0,1
311,104,2,2,8,0,1,0,0,0,0
309,100,3,3,8,0,1,0,0,0,0
307,101,4,3,8,0,0,1,0,0,0
304,105,3,3,8,0,1,0,0,0,1
315,107,4,3,8,0,1,0,0,0,1
325,111,3,3,8,0,0,1,0,0,0
325,112,3,3,8,0,0,0,1,0,0
327,114,3,3,9,0,0,1,0,0,0
316,107,3,3,8,0,1,0,0,0,1
318,109,3,4,9,0,0,1,0,0,1
328,115,4,4,9,0,0,0,1,0,1
332,118,5,5,9,1,0,0,0,1,1
336,112,5,5,9,1,0,0,0,1,1
321,111,5,5,9,1,0,0,0,1,1
314,108,4,4,9,1,0,0,1,0,1
314,106,3,5,8,0,0,1,0,0,0
329,114,2,4,8,0,1,0,0,0,1
327,112,3,3,8,0,0,1,0,0,1
301,99,3,2,8,0,1,0,0,0,0
296,95,3,2,7,0,1,0,0,0,1
294,93,1,2,7,0,0,0,0,0,0
312,105,2,3,8,0,0,1,0,0,1
340,120,5,5,9,1,0,0,1,0,1
320,110,5,4,9,1,0,0,0,1,1
322,115,4,4,9,1,0,0,0,1,1
340,115,4,4,9,1,0,0,0,1,1
319,103,4,3,8,0,0,0,1,0,0
315,106,4,3,8,0,0,1,0,0,0
317,107,3,3,8,0,1,0,0,0,0
314,108,4,3,8,0,0,1,0,0,0
316,109,4,3,8,0,0,0,1,0,1
318,106,4,4,7,0,1,0,0,0,1
299,97,5,3,7,0,0,1,0,0,0
298,98,4,3,8,0,1,0,0,0,0
301,97,3,3,7,0,1,0,0,0,1
303,99,2,2,7,0,0,1,0,0,0
304,100,1,2,7,0,0,0,1,0,0
306,100,3,3,8,0,1,0,0,0,0
331,120,4,4,8,1,0,1,0,0,1
332,119,5,4,9,1,0,0,1,0,1
323,113,4,4,8,0,0,1,0,0,1
322,107,3,3,8,0,0,1,0,0,1
312,105,2,3,8,0,1,0,0,0,0
314,106,4,3,8,0,1,0,0,0,0
317,104,4,4,8,0,1,0,0,0,0
326,112,3,3,9,0,0,1,0,0,1
316,110,4,4,8,0,0,1,0,0,1
329,111,4,4,9,1,0,0,1,0,1
338,117,3,4,9,1,0,0,1,0,1
331,116,5,5,9,1,0,0,0,1,1
304,103,5,4,8,0,0,0,0,1,0
305,108,3,3,8,0,0,0,0,1,0
321,109,4,4,8,0,0,0,1,0,1
301,107,3,3,8,0,0,1,0,0,1
320,110,4,3,8,0,1,0,0,0,0
311,105,3,3,8,0,0,1,0,0,1
310,106,4,4,9,0,0,0,1,0,1
299,102,4,3,8,0,0,1,0,0,0
290,104,2,2,7,0,0,0,1,0,0
296,99,3,3,7,0,1,0,0,0,0
327,104,3,3,8,0,0,0,0,1,1
335,117,5,5,9,1,0,0,0,1,1
334,119,4,4,9,1,0,0,0,1,1
310,106,1,2,8,0,0,0,1,0,0
308,108,3,3,8,0,0,1,0,0,0
301,106,2,3,8,0,0,0,1,0,0
300,100,2,3,8,0,0,1,0,0,1
323,113,4,3,9,1,0,1,0,0,1
319,112,2,2,8,0,0,1,0,0,1
326,112,3,3,9,1,0,1,0,0,1
333,118,5,5,9,1,0,0,0,1,1
339,114,4,4,9,1,0,0,0,1,1
303,105,5,4,8,0,0,0,0,1,0
309,105,3,3,8,0,0,0,0,1,0
323,112,4,4,8,0,0,0,0,1,0
333,113,4,4,9,1,0,0,0,1,1
314,109,3,4,8,1,0,0,1,0,1
312,103,5,4,8,0,0,1,0,0,0
316,100,1,3,8,0,1,0,0,0,1
326,116,4,3,9,1,1,0,0,0,1
318,109,3,3,9,0,0,0,0,0,0
329,110,4,3,9,1,1,0,0,0,1
332,118,4,3,9,1,1,0,0,0,1
331,115,4,3,9,1,0,0,0,1,1
340,120,4,4,9,1,0,0,1,0,1
325,112,3,3,8,1,1,0,0,0,1
320,113,2,2,8,1,1,0,0,0,1
315,105,2,2,8,0,0,1,0,0,0
326,114,3,3,9,1,0,1,0,0,1
339,116,4,3,9,1,0,0,1,0,1
311,106,3,3,8,0,1,0,0,0,1
334,114,4,4,9,1,0,0,1,0,1
332,116,5,5,9,1,0,0,0,1,1
321,112,5,5,9,1,0,0,0,1,1
324,105,3,4,8,0,0,1,0,0,0
326,108,3,3,8,1,0,1,0,0,0
312,109,3,3,8,0,0,1,0,0,0
315,105,2,2,8,0,0,1,0,0,0
309,104,2,2,8,0,1,0,0,0,0
306,106,2,2,8,0,1,0,0,0,0
297,100,1,2,7,0,0,0,0,0,0
315,103,1,2,7,0,0,0,0,0,0
298,99,1,3,7,0,0,0,0,0,0
318,109,3,3,8,0,0,1,0,0,0
317,105,3,3,8,0,0,1,0,0,0
329,111,4,4,9,1,0,0,1,0,1
322,110,4,4,8,0,0,0,0,1,0
302,102,3,5,8,0,0,1,0,0,0
313,102,2,3,8,0,0,1,0,0,0
293,97,2,4,7,0,1,0,0,0,1
311,99,2,3,7,0,1,0,0,0,0
312,101,2,3,8,0,1,0,0,0,1
334,117,4,4,9,1,0,0,0,1,1
322,110,4,5,9,1,0,0,1,0,1
323,113,4,4,9,1,0,0,1,0,1
321,111,4,4,8,1,0,0,1,0,1
320,111,4,3,8,1,0,0,1,0,1
329,119,4,4,9,1,0,0,1,0,1
319,110,3,3,9,1,0,1,0,0,0
309,108,2,3,8,0,0,1,0,0,0
307,102,3,3,8,0,0,1,0,0,0
300,104,3,3,8,0,0,1,0,0,0
305,107,2,2,8,0,1,0,0,0,0
299,100,3,3,7,0,1,0,0,0,0
314,110,4,4,8,0,0,1,0,0,0
316,106,2,4,8,0,1,0,0,0,0
327,113,4,4,9,1,0,0,1,0,1
317,107,3,3,8,1,0,1,0,0,1
335,118,4,3,9,1,0,0,0,1,1
331,115,4,3,9,1,0,0,0,1,1
324,112,5,5,9,1,0,0,0,1,1
324,111,4,4,9,1,0,0,0,1,1
323,110,4,5,8,1,0,0,0,1,1
322,114,4,4,8,1,0,0,0,1,1
336,118,4,5,9,1,0,0,0,1,1
316,109,3,3,8,0,0,1,0,0,0
307,107,3,3,8,0,1,0,0,0,1
306,105,3,2,8,0,1,0,0,0,0
310,106,3,2,8,0,1,0,0,0,0
311,104,4,4,8,0,0,1,0,0,0
313,107,4,4,8,0,0,1,0,0,0
317,103,2,3,8,0,0,1,0,0,1
315,110,3,3,8,0,1,0,0,0,1
340,120,4,4,9,1,0,0,0,1,1
334,120,4,5,9,1,0,0,0,1,1
298,105,3,4,8,0,0,1,0,0,0
295,99,2,3,7,0,1,0,0,0,0
315,99,3,3,7,0,1,0,0,0,0
